Отметка времени,eye_color,hair_color,hair_texture,age
2.18.2023 16:58:52,1,1,1,20
2.18.2023 16:59:55,1,2,1,20
2.18.2023 17:01:10,2,1,2,21
2.18.2023 17:01:15,2,2,2,19
2.18.2023 17:01:35,3,2,1,18
2.18.2023 17:01:42,4,3,4,21
2.18.2023 17:02:50,4,2,2,22
2.18.2023 17:03:00,1,2,2,19
2.18.2023 17:03:04,1,4,1,19
2.18.2023 17:03:11,1,3,2,18
2.18.2023 17:03:58,1,4,2,19
2.18.2023 17:05:13,1,1,2,18
2.18.2023 17:05:27,1,4,1,20
2.18.2023 17:06:12,2,2,2,19
2.18.2023 17:06:13,4,2,2,21
2.18.2023 17:06:14,1,1,1,19
2.18.2023 17:06:19,3,5,1,18
2.18.2023 17:06:25,3,2,1,19
2.18.2023 17:06:41,2,1,1,19
2.18.2023 17:06:52,2,2,3,18
2.18.2023 17:06:55,1,4,4,25
2.18.2023 17:07:53,1,2,1,20
2.18.2023 17:08:07,3,1,4,19
2.18.2023 17:08:08,4,4,1,18
2.18.2023 17:08:32,2,2,1,18
2.18.2023 17:09:06,1,1,2,18
2.18.2023 17:09:18,3,4,1,18
2.18.2023 17:09:21,2,2,4,19
2.18.2023 17:09:22,3,6,4,19
2.18.2023 17:09:23,4,7,1,18
2.18.2023 17:09:24,2,7,1,18
2.18.2023 17:10:22,2,2,3,19
2.18.2023 17:11:01,1,6,1,19
2.18.2023 17:11:29,2,7,1,22
2.18.2023 17:11:31,2,7,1,19
2.18.2023 17:12:14,1,4,1,19
2.18.2023 17:12:19,3,1,1,19
2.18.2023 17:12:56,1,6,1,19
2.18.2023 17:13:39,3,4,2,19
2.18.2023 17:15:10,3,7,1,17
2.18.2023 17:15:43,1,2,2,19
2.18.2023 17:16:02,1,7,1,19
2.18.2023 17:17:51,4,7,1,19
2.18.2023 17:18:00,4,2,2,19
2.18.2023 17:18:39,2,5,1,18
2.18.2023 17:18:55,1,1,1,19
2.18.2023 17:20:33,1,2,1,19
2.18.2023 17:20:52,2,5,2,18
2.18.2023 17:21:15,3,2,1,19
2.18.2023 17:21:17,3,3,2,18
2.18.2023 17:23:36,2,7,1,18
2.18.2023 17:24:24,1,6,4,19
2.18.2023 17:24:38,3,2,1,19
2.18.2023 17:26:25,4,7,3,18
2.18.2023 17:26:41,1,2,2,18
2.18.2023 17:27:32,4,6,2,19
2.18.2023 17:28:10,3,2,1,18
2.18.2023 17:31:13,4,7,4,18
2.18.2023 17:34:06,1,1,1,18
2.18.2023 17:34:45,4,6,1,18
2.18.2023 17:34:53,1,6,1,19
2.18.2023 17:35:33,2,2,1,18
2.18.2023 17:36:43,1,6,1,19
2.18.2023 17:36:49,2,3,4,19
2.18.2023 17:38:25,1,7,1,18
2.18.2023 17:38:43,1,4,1,18
2.18.2023 17:39:00,3,4,2,18
2.18.2023 17:39:11,1,2,4,18
2.18.2023 17:45:31,3,3,2,18
2.18.2023 17:47:40,1,4,1,18
2.18.2023 17:49:28,1,3,4,18
2.18.2023 17:56:07,3,7,1,17
2.18.2023 17:57:04,2,2,4,18
2.18.2023 17:57:13,2,6,1,18
2.18.2023 17:58:01,1,7,1,18
2.18.2023 17:58:08,1,7,1,19
2.18.2023 17:59:18,2,2,1,19
2.18.2023 18:00:44,4,7,1,19
2.18.2023 18:01:11,3,7,3,20
2.18.2023 18:07:25,2,2,1,18
2.18.2023 18:08:00,4,5,1,19
2.18.2023 18:09:56,1,5,2,18
2.18.2023 18:11:06,2,1,3,18
2.18.2023 18:12:40,3,6,1,18
2.18.2023 18:13:04,1,6,4,19
2.18.2023 18:14:27,3,3,2,18
2.18.2023 18:24:40,1,5,1,19
2.18.2023 18:26:29,3,1,1,19
2.18.2023 18:26:55,2,2,1,17
2.18.2023 18:31:54,1,1,4,18
2.18.2023 18:32:16,1,1,1,19
2.18.2023 18:32:56,3,1,3,18
2.18.2023 18:33:11,3,3,3,20
2.18.2023 18:35:16,1,6,1,18
2.18.2023 18:36:25,3,2,1,20
2.18.2023 18:36:48,4,3,1,20
2.18.2023 18:43:25,1,7,1,18
2.18.2023 18:43:25,1,6,4,18
2.18.2023 18:45:33,2,2,1,18
2.18.2023 18:45:57,1,1,1,19
2.18.2023 18:48:48,4,2,1,18
2.18.2023 18:55:29,3,6,1,19
2.18.2023 19:02:53,1,4,2,20
2.18.2023 19:08:34,1,1,3,18
2.18.2023 19:10:51,4,1,4,18
2.18.2023 19:12:20,1,4,1,21
2.18.2023 19:14:40,2,2,1,18
2.18.2023 19:15:10,1,3,2,18
2.18.2023 19:17:50,4,2,1,18
2.18.2023 19:26:07,3,2,2,19
2.18.2023 19:36:49,3,2,1,18
2.18.2023 19:49:13,1,2,1,18
2.18.2023 19:57:54,4,6,2,18
2.18.2023 19:58:26,2,6,1,19
2.18.2023 20:00:00,3,2,1,19
2.18.2023 20:19:28,2,2,1,19
2.18.2023 21:21:38,4,2,2,19
2.18.2023 21:53:01,3,2,1,17
2.18.2023 22:11:57,1,2,1,19
2.18.2023 22:24:44,3,6,1,20
2.18.2023 22:36:16,1,2,2,20
2.18.2023 22:37:40,3,2,4,18
2.18.2023 22:42:37,2,2,1,19
2.18.2023 22:46:26,1,1,2,20
2.18.2023 22:57:59,1,2,1,19
2.18.2023 23:46:10,1,6,1,19
2.19.2023 0:33:21,4,4,2,18
